M1,M2,G1,G2
27.5,20.0,17.553,0.386
27.5,22.5,17.481,0.273
27.5,25.0,17.399,0.144
27.5,27.5,17.307,0.000
27.5,30.0,17.204,-0.161
27.5,32.5,17.091,-0.339
27.5,35.0,16.967,-0.535
27.5,37.5,16.831,-0.749
27.5,40.0,16.684,-0.981
27.5,42.5,16.525,-1.233
27.5,45.0,16.354,-1.504
27.5,47.5,16.171,-1.796
27.5,50.0,15.975,-2.108
27.5,52.5,15.767,-2.440
27.5,55.0,15.546,-2.794
27.5,57.5,15.312,-3.169
27.5,60.0,15.066,-3.566
27.5,62.5,14.807,-3.984
27.5,65.0,14.535,-4.423
27.5,67.5,14.252,-4.884
27.5,70.0,13.956,-5.365
27.5,72.5,13.649,-5.866
27.5,75.0,13.331,-6.387
27.5,77.5,13.002,-6.927
27.5,80.0,12.663,-7.486
27.5,82.5,12.315,-8.061
27.5,85.0,11.957,-8.653
27.5,87.5,11.591,-9.260
27.5,90.0,11.217,-9.882
27.5,92.5,10.836,-10.516
27.5,95.0,10.449,-11.162
27.5,97.5,10.056,-11.818
27.5,100.0,9.659,-12.483
27.5,102.5,9.257,-13.156
27.5,105.0,8.851,-13.835
27.5,107.5,8.443,-14.519
27.5,110.0,8.033,-15.207
27.5,112.5,7.621,-15.896
27.5,115.0,7.209,-16.586
27.5,117.5,6.796,-17.274
27.5,120.0,6.385,-17.960
27.5,122.5,5.975,-18.643
27.5,125.0,5.568,-19.319
27.5,127.5,5.163,-19.989
27.5,130.0,4.763,-20.650
27.5,132.5,4.367,-21.301
27.5,135.0,3.977,-21.941
27.5,137.5,3.594,-22.567
27.5,140.0,3.217,-23.178
27.5,142.5,2.850,-23.773
27.5,145.0,2.492,-24.350
27.5,147.5,2.144,-24.908
27.5,150.0,1.808,-25.443
27.5,152.5,1.486,-25.956
27.5,155.0,1.177,-26.444
27.5,157.5,0.883,-26.905
27.5,160.0,0.607,-27.337
30.0,0.0,17.696,0.934
30.0,2.5,17.695,0.932
30.0,5.0,17.686,0.917
30.0,7.5,17.668,0.890
30.0,10.0,17.642,0.849
30.0,12.5,17.607,0.795
30.0,15.0,17.564,0.726
30.0,17.5,17.511,0.644
30.0,20.0,17.449,0.546
30.0,22.5,17.377,0.434
30.0,25.0,17.296,0.305
30.0,27.5,17.204,0.161
30.0,30.0,17.102,0.000
30.0,32.5,16.990,-0.178
30.0,35.0,16.866,-0.374
30.0,37.5,16.731,-0.588
30.0,40.0,16.584,-0.821
30.0,42.5,16.426,-1.073
30.0,45.0,16.256,-1.345
30.0,47.5,16.073,-1.637
30.0,50.0,15.878,-1.950
30.0,52.5,15.670,-2.284
30.0,55.0,15.449,-2.639
30.0,57.5,15.216,-3.015
30.0,60.0,14.971,-3.413
30.0,62.5,14.712,-3.833
30.0,65.0,14.442,-4.273
30.0,67.5,14.159,-4.735
30.0,70.0,13.864,-5.218
30.0,72.5,13.557,-5.722
30.0,75.0,13.240,-6.245
30.0,77.5,12.912,-6.787
30.0,80.0,12.573,-7.347
30.0,82.5,12.226,-7.925
30.0,85.0,11.869,-8.519
30.0,87.5,11.503,-9.129
30.0,90.0,11.130,-9.752
30.0,92.5,10.751,-10.389
30.0,95.0,10.364,-11.037
30.0,97.5,9.972,-11.696
30.0,100.0,9.576,-12.364
30.0,102.5,9.175,-13.039
30.0,105.0,8.770,-13.721
